,Geol,Dol_den,Lin_order1,Lin_order2,RTP,BGA,eK,eU,eTh,ZR,BA,RB,NB,CE,TH,U,TREE,MGO,CAO,K2O,SIO2,Label,CLUSTER_ID
76,6.0,21.573165893554688,4472.13623046875,4000.0,143.0,151.0,3.227660655975342,2.178262948989868,17.361902236938477,502.89801025390625,767.4655151367188,136.3697509765625,21.81229019165039,57.84072494506836,35.35144805908203,3.7777445316314697,156.0684814453125,1.1712427139282227,2.1585395336151123,3.4881303310394287,67.07035064697266,1,7
77,5.0,0.0,8246.2109375,0.0,103.0,63.0,0.8279451727867126,1.82210373878479,8.702917098999023,357.2890319824219,417.6813659667969,84.9531478881836,11.854026794433594,70.70191192626953,15.824800491333008,3.2980470657348633,196.58499145507812,1.8119920492172241,4.869662761688232,1.9113208055496216,59.905616760253906,1,4
78,5.0,0.0,0.0,8246.2109375,243.0,79.0,2.3424692153930664,2.036935329437256,11.909217834472656,316.2830810546875,413.78692626953125,64.6740951538086,12.123090744018555,65.38743591308594,9.987753868103027,2.631162166595459,184.3704833984375,2.4606893062591553,6.958903789520264,1.3048542737960815,56.99382781982422,1,4
79,5.0,0.0,10000.0,2000.0,143.0,63.0,2.2804973125457764,2.6451187133789062,16.526681900024414,363.582763671875,441.829833984375,92.61424255371094,13.412945747375488,91.59600067138672,17.40418243408203,4.296024799346924,251.53427124023438,1.6105146408081055,4.490273475646973,2.0429234504699707,60.83442687988281,1,4
80,2.0,14.54772663116455,4000.0,2000.0,47.0,231.0,0.9172821640968323,1.2671773433685303,5.861294269561768,570.588134765625,694.086669921875,79.72982788085938,12.224209785461426,50.18092727661133,19.1514835357666,2.737971544265747,139.82252502441406,1.377733588218689,3.033721923828125,2.0660672187805176,65.99463653564453,1,7
81,2.0,14.57112979888916,5656.85400390625,2000.0,111.0,227.0,0.8366517424583435,1.6384532451629639,7.345491409301758,571.9141845703125,692.4655151367188,76.50267028808594,11.230355262756348,50.914913177490234,18.628890991210938,2.7510650157928467,142.1043243408203,1.288844347000122,3.166914224624634,2.0705111026763916,66.32520294189453,1,7
82,2.0,60.3808479309082,11661.9033203125,0.0,151.0,111.0,2.5956828594207764,4.162930965423584,21.93084144592285,561.5306396484375,560.746337890625,181.1981201171875,21.637622833251953,76.20216369628906,51.839515686035156,7.290752410888672,207.93125915527344,0.8859455585479736,1.5579227209091187,3.724846839904785,66.2139663696289,1,0
83,2.0,75.01736450195312,10770.3291015625,0.0,191.0,111.0,3.6110470294952393,6.313902378082275,41.452857971191406,611.5546264648438,662.3372192382812,181.41207885742188,19.133281707763672,65.68017578125,59.05696105957031,6.501588344573975,179.79066467285156,0.9112957119941711,1.7535313367843628,3.6709470748901367,67.15860748291016,1,0
84,5.0,0.0,10000.0,2000.0,143.0,63.0,2.2804973125457764,2.6451187133789062,16.526681900024414,363.582763671875,441.829833984375,92.61424255371094,13.412945747375488,91.59600067138672,17.40418243408203,4.296024799346924,251.53427124023438,1.6105146408081055,4.490273475646973,2.0429234504699707,60.83442687988281,1,4
85,5.0,0.0,8485.28125,2828.427001953125,235.0,63.0,0.8212012052536011,1.5601943731307983,6.82950496673584,323.5421142578125,417.8821716308594,80.0268325805664,11.3439302444458,66.17134857177734,12.109506607055664,3.1057279109954834,182.93858337402344,1.7094042301177979,4.599984169006348,2.012730836868286,61.259849548339844,1,4
86,5.0,0.0,2000.0,8944.2724609375,239.0,159.0,0.8230910301208496,1.803792119026184,7.318984508514404,320.44415283203125,402.2873840332031,58.841121673583984,12.173048973083496,63.5041618347168,9.678232192993164,2.576918601989746,179.3143768310547,2.446770191192627,6.947324752807617,1.299046277999878,56.5754508972168,1,4
87,5.0,0.0,0.0,8246.2109375,243.0,79.0,2.3424692153930664,2.036935329437256,11.909217834472656,316.2830810546875,413.78692626953125,64.6740951538086,12.123090744018555,65.38743591308594,9.987753868103027,2.631162166595459,184.3704833984375,2.4606893062591553,6.958903789520264,1.3048542737960815,56.99382781982422,1,4
88,2.0,0.0,5656.85400390625,2000.0,199.0,199.0,1.2808849811553955,1.8057531118392944,6.016340255737305,848.4556274414062,657.6185302734375,63.52407455444336,11.693248748779297,59.67278289794922,11.453765869140625,3.1091389656066895,176.45863342285156,4.488027095794678,1.6265723705291748,0.8575288653373718,61.331878662109375,1,7
89,2.0,9.081574440002441,0.0,0.0,223.0,95.0,2.9148943424224854,3.3731493949890137,14.11042594909668,1210.27197265625,610.1693115234375,94.79649353027344,21.713560104370117,109.62943267822266,20.088716506958008,3.5341079235076904,326.79864501953125,2.6037826538085938,1.3697973489761353,0.773167073726654,61.531490325927734,1,7
90,2.0,9.081574440002441,0.0,0.0,223.0,95.0,2.9148943424224854,3.3731493949890137,14.11042594909668,1210.27197265625,610.1693115234375,94.79649353027344,21.713560104370117,109.62943267822266,20.088716506958008,3.5341079235076904,326.79864501953125,2.6037826538085938,1.3697973489761353,0.773167073726654,61.531490325927734,1,7
91,2.0,7.638975620269775,2828.427001953125,0.0,175.0,215.0,0.9758862257003784,1.4641571044921875,7.311790943145752,894.3115234375,696.235107421875,76.94633483886719,13.755956649780273,72.89550018310547,14.602522850036621,3.2500154972076416,213.80450439453125,3.3051366806030273,1.702621579170227,0.9153673648834229,61.72196578979492,1,7
92,2.0,0.0,4472.13623046875,0.0,215.0,223.0,1.3278353214263916,2.1733875274658203,7.391450881958008,796.4124145507812,648.0953979492188,72.78961944580078,13.670543670654297,64.04389190673828,12.213045120239258,3.1790881156921387,191.47744750976562,3.245558261871338,1.6081912517547607,0.864197313785553,63.02291488647461,1,7
93,1.0,42.2087516784668,6000.0,0.0,79.0,135.0,3.6171281337738037,1.9928523302078247,21.244672775268555,1146.7027587890625,725.2689819335938,107.78408813476562,15.565009117126465,101.84243774414062,22.83716583251953,4.300507068634033,284.3721008300781,2.472567319869995,1.7329785823822021,1.0350974798202515,62.55575942993164,1,3
94,1.0,42.2087516784668,6000.0,0.0,79.0,135.0,3.6171281337738037,1.9928523302078247,21.244672775268555,1146.7027587890625,725.2689819335938,107.78408813476562,15.565009117126465,101.84243774414062,22.83716583251953,4.300507068634033,284.3721008300781,2.472567319869995,1.7329785823822021,1.0350974798202515,62.55575942993164,1,3
