,Geol,Dol_den,Lin_order1,Lin_order2,RTP,BGA,eK,eU,eTh,ZR,BA,RB,NB,CE,TH,U,TREE,MGO,CAO,K2O,SIO2
6024,2.0,0.0,4000.0,4000.0,191.0,111.0,1.7898859977722168,1.4425822496414185,9.029213905334473,329.03045654296875,376.9315490722656,72.94027709960938,11.514036178588867,52.47233581542969,9.569252967834473,2.367987871170044,150.61190795898438,1.4026544094085693,2.312863349914551,1.9094908237457275,62.550537109375
6025,2.0,0.0,2828.427001953125,2000.0,199.0,191.0,0.8484878540039062,1.1798884868621826,7.019073963165283,310.3790588378906,373.9136962890625,69.4494857788086,12.274439811706543,52.42896270751953,8.698786735534668,2.274901866912842,151.14706420898438,1.5220469236373901,2.3739755153656006,1.7813935279846191,61.181278228759766
6026,4.0,0.0,2000.0,0.0,175.0,251.0,0.28729021549224854,0.9358418583869934,3.8108112812042236,319.282958984375,378.6161804199219,63.43730926513672,14.76871395111084,54.183895111083984,8.146450996398926,2.3068723678588867,157.40792846679688,1.737038254737854,2.47393798828125,1.6072229146957397,58.77480697631836
6027,5.0,19.327198028564453,0.0,2000.0,111.0,235.0,1.7791733741760254,1.8047775030136108,9.690777778625488,391.6272888183594,423.90362548828125,72.94524383544922,20.33586311340332,64.60621643066406,9.745205879211426,2.7694027423858643,184.7996826171875,1.5367213487625122,2.4064502716064453,1.9446451663970947,59.803016662597656
6028,5.0,76.82243347167969,2000.0,4000.0,143.0,111.0,2.609175443649292,1.792462944984436,13.311403274536133,461.6636962890625,433.2919006347656,79.96563720703125,27.67664909362793,70.28840637207031,12.112785339355469,3.3040125370025635,202.1516876220703,1.360994577407837,2.3281445503234863,2.2382333278656006,61.16905975341797
6029,5.0,53.36226272583008,2828.427001953125,4472.13623046875,191.0,151.0,2.9015214443206787,3.4666991233825684,20.861236572265625,436.67315673828125,424.7031555175781,71.78302764892578,88.3447036743164,61.9909553527832,13.415367126464844,3.111013174057007,184.46971130371094,1.3284205198287964,2.106830358505249,2.2356724739074707,61.7504768371582
6030,4.0,0.0,4472.13623046875,4000.0,175.0,219.0,0.38724851608276367,0.30306994915008545,3.1234333515167236,368.2932434082031,404.2416687011719,68.0267562866211,50.026145935058594,54.261783599853516,10.701671600341797,2.596526622772217,158.91305541992188,1.60956609249115,2.2769691944122314,1.8892972469329834,60.76979064941406
6031,4.0,8.074169158935547,2828.427001953125,4472.13623046875,159.0,239.0,0.6925677061080933,1.224544882774353,6.937787055969238,364.96588134765625,427.6878967285156,67.71507263183594,32.60373306274414,52.255245208740234,9.445350646972656,2.2484726905822754,154.00518798828125,1.6448861360549927,2.4660980701446533,1.79464852809906,60.63713455200195
6032,4.0,32.407230377197266,2000.0,5656.85400390625,143.0,243.0,0.4447994828224182,0.22108207643032074,2.009165048599243,364.97052001953125,450.9815368652344,71.0204086303711,36.154747009277344,51.333553314208984,9.804159164428711,2.244236469268799,150.17666625976562,1.5263429880142212,2.4878838062286377,1.968447208404541,61.356815338134766
6033,2.0,37.40294647216797,0.0,7211.1025390625,31.0,223.0,1.9030448198318481,1.036291480064392,5.018126964569092,366.0537109375,484.2114562988281,70.45104217529297,48.209957122802734,50.406917572021484,9.556672096252441,2.159104108810425,145.7489776611328,1.3685625791549683,2.4800820350646973,2.139730930328369,62.059226989746094
6034,2.0,2.334449291229248,2000.0,8944.2724609375,111.0,203.0,0.9593542218208313,2.0796146392822266,5.5395188331604,347.8783264160156,554.0448608398438,63.327396392822266,158.68075561523438,42.94428253173828,10.253600120544434,2.2432737350463867,132.21859741210938,1.2180969715118408,2.433023691177368,2.480231285095215,63.59035110473633
6035,2.0,0.0,4000.0,8485.28125,191.0,199.0,0.9121626019477844,3.2550277709960938,10.01032829284668,415.776123046875,535.1174926757812,68.98429107666016,96.8038558959961,50.818145751953125,10.245403289794922,2.447692632675171,151.23980712890625,1.2776182889938354,2.536961078643799,2.370450735092163,62.70913314819336
6036,2.0,0.0,6000.0,7211.1025390625,143.0,227.0,0.6596699953079224,2.274869680404663,9.244340896606445,488.4211120605469,495.59613037109375,69.75515747070312,36.39883804321289,64.38278198242188,10.48775577545166,2.772817611694336,189.84881591796875,1.3413664102554321,2.7505786418914795,2.1103014945983887,62.66935348510742
6037,4.0,0.0,5656.85400390625,5656.85400390625,151.0,231.0,1.5864648818969727,1.679207682609558,4.8575029373168945,475.31890869140625,492.2268981933594,70.91863250732422,26.567241668701172,62.258583068847656,9.924151420593262,2.7552478313446045,182.6519775390625,1.353319525718689,2.892500400543213,2.1759495735168457,62.27320861816406
6038,2.0,0.0,4000.0,4472.13623046875,167.0,223.0,1.4461859464645386,2.353947639465332,3.850358247756958,492.2598571777344,500.09490966796875,71.56546020507812,31.23294448852539,62.21983337402344,9.937654495239258,2.836946725845337,180.96917724609375,1.3662595748901367,2.8203094005584717,2.1763906478881836,62.038780212402344
6039,2.0,0.0,2000.0,4000.0,103.0,159.0,1.6325651407241821,2.1823952198028564,3.3309686183929443,424.0234680175781,530.1640014648438,67.63542175292969,69.92582702636719,54.25497817993164,10.112131118774414,2.4762182235717773,160.06494140625,1.4285531044006348,3.2012102603912354,2.1595242023468018,61.3609733581543
6040,2.0,0.0,0.0,2828.427001953125,167.0,167.0,2.1531693935394287,1.7672358751296997,4.697176933288574,399.922119140625,554.6199340820312,64.77183532714844,68.7281723022461,50.449623107910156,10.022114753723145,2.224153518676758,149.45591735839844,1.4038372039794922,3.1778311729431152,2.2191624641418457,62.517337799072266
6041,2.0,0.0,2000.0,2000.0,175.0,151.0,1.1942901611328125,2.1511683464050293,3.4744350910186768,390.53326416015625,511.54010009765625,65.81689453125,32.20439147949219,47.33116912841797,9.312285423278809,1.9580190181732178,138.49356079101562,1.5182740688323975,3.0345163345336914,2.041778802871704,62.703582763671875
6042,2.0,0.0,4000.0,2000.0,167.0,151.0,1.3777477741241455,2.2807998657226562,4.868269920349121,445.80670166015625,532.208740234375,69.88928985595703,36.40183639526367,48.89971923828125,10.52846622467041,2.3851540088653564,144.66384887695312,1.3500208854675293,3.0311126708984375,2.2984085083007812,63.529518127441406
